Aba, Abia 	 5.1167 , 7.3667 	 5.1166666666667 , 7.3666666666667
Bangor, Maine 	 44.8108 , -68.7831 	 44.803055555556 , -68.7675
Bangor, Michigan 	 42.3133 , 86.1131 	 42.3125 , -86.113055555556
Bangor, Morbihan 	 47.3158 , -3.1872 	 47.315 , -3.1886111111111
Bangor, New South Wales 	 -34.0191 , 151.0274 	 -34.0191 , 151.027
Bangor, New York 	 44.845 , -74.4458 	 44.812222222222 , -74.3975
Bangor, Pennsylvania 	 40.8667 , -75.2108 	 40.86565 , -75.20657
Bangou, Cameroon 	 5.249 , 10.3991 	 5.2 , 10.383333333333
Bani, Pangasinan 	 16.1869 , 119.8592 	 16.186944 , 119.859167
Banka, Bihar 	 24.88 , 86.92 	 24.88 , 86.92
Banki, Odisha 	 20.38 , 85.53 	 20.38 , 85.53
Baoji 	 34.3536 , 107.3753 	 34.36094 , 107.17507
Baoshan, Yunnan 	 25.1167 , 99.1667 	 25.11626 , 99.16366
Bara, East Lothian 	 55.918 , -2.699 	 55.9184 , -2.69917
Barak, Kyrgyzstan 	 40.6676 , 72.7681 	 40.66763333 , 72.76811389
Barbara, Gaza 	 31.6239 , 34.5794 	 31.62386389 , 34.57936667
Barcelona 	 41.3833 , 2.1667 	 41.3825 , 2.1769444444444
Barcelona, Sorsogon 	 12.868 , 124.141 	 12.866666666667 , 124.13333333333
Bardejov 	 49.295 , 21.2758 	 49.295 , 21.275833333333
Barga 	 44.0667 , 10.4833 	 44.075 , 10.481666666667
Bargo, New South Wales 	 -34.293 , 150.5781 	 -34.3 , 150.583
Bari 	 41.1333 , 16.8667 	 41.125277777778 , 16.866666666667
Bari, India 	 26.63 , 77.62 	 26.63 , 77.62
Bari, Somalia 	 6.1131 , 47.9881 	 10.833333333333 , 50.183333333333
Barka, Oman 	 23.7092 , 57.8869 	 23.709166666667 , 57.886944444444
Bar, Montenegro 	 42.0892 , 19.1003 	 42.1 , 19.1
Barra 	 56.9833 , -7.4667 	 56.983333333333 , -7.4666666666667
Barracas, Buenos Aires 	 -34.65 , -58.385 	 -34.65 , -58.383333333333
Barra, Gambia 	 13.4864 , -16.5444 	 13.2858 , -16.3244
Barrancas, La Guajira 	 10.9548 , -72.7871 	 10.955833333333 , -72.791944444444
Barreiros, Lugo 	 43.5333 , -7.2333 	 43.534444444444 , -7.2397222222222
Barrow, Suffolk 	 52.233 , 0.583 	 52.233 , 0.583
Bartlett, Illinois 	 41.9953 , -88.1856 	 41.9953 , -88.1856
Bartlett, New Hampshire 	 44.077 , -71.221 	 44.077777777778 , -71.282777777778
Bartlett, Tennessee 	 35.2231 , -89.8411 	 35.22299 , -89.84117
Bartlett, Texas 	 30.7956 , -97.4306 	 30.7956 , -97.4306
Bar, Vinnytsia Oblast 	 49.0781 , 27.6831 	 49.078055555556 , 27.683055555556
Batan, Aklan 	 11.5473 , 122.5374 	 11.583333333333 , 122.5
Batang, Sichuan 	 30.0031 , 99.1131 	 30.00568 , 99.1119
Batavia, Illinois 	 41.8467 , -88.3083 	 41.8489 , -88.3083
Batavia, Ohio 	 39.0773 , -84.1792 	 39.0772 , -84.1792
Bathurst, Eastern Cape 	 33.5039 , 26.8239 	 -33.483333333333 , 26.833333333333
Bathurst, New South Wales 	 -33.4167 , 149.5667 	 -33.42 , 149.57777777778
Bato, Camarines Sur 	 13.356 , 123.364 	 13.3528 , 123.3677
Bato, Catanduanes 	 13.6064 , 124.3 	 13.6 , 124.3
Bato, Leyte 	 10.3278 , 124.7911 	 10.333333333333 , 124.8
Batuan, Bali 	 -8.5856 , 115.2756 	 -8.58556 , 115.276
Batuan, Bohol 	 9.8119 , 124.1441 	 9.8 , 124.13333333333
Bau, Sarawak 	 1.4167 , 110.0025 	 1.41667 , 110.15
Bayan, Kuwait 	 29.3167 , 48.0333 	 29.316666666667 , 48.033333333333
Bayat, Çorum 	 40.646 , 34.261 	 40.646 , 34.261
Bay City, Michigan 	 43.5951 , -83.8886 	 43.59505 , -83.888639
Bay City, Texas 	 28.9808 , -95.9644 	 28.9808 , -95.9644
Beaconsfield 	 51.6009 , -0.6347 	 51.600872222222 , -0.63468055555556
Beaconsfield, Iowa 	 40.8081 , -94.0506 	 40.808055555556 , -94.050555555556
Beaconsfield, Quebec 	 45.4334 , -73.8659 	 45.433333333333 , -73.866666666667
Beaconsfield, Tasmania 	 -41.2023 , 146.8172 	 -41.2 , 146.8
Beaufort, Blaenau Gwent 	 51.797 , -3.206 	 51.79999 , -3.2199
Beaufort, County Kerry 	 52.0689 , -9.6389 	 52.06901 , -9.6389
Beaufort, Malaysia 	 5.33 , 115.75 	 5.3333333333333 , 115.75
Beaufort, South Carolina 	 32.4319 , -80.6894 	 32.431944444444 , -80.689444444444
Beaufort, Victoria 	 -37.43 , 143.3835 	 -37.433333333333 , 143.36666666667
Beaumont, Alberta 	 53.3501 , -113.4187 	 53.357222222222 , -113.415
Beaumont, Cumbria 	 54.9167 , -3.0167 	 54.916666666667 , -3.0166666666667
Beaumont, Dublin 	 53.391 , -6.241 	 53.391 , -6.241
Beaumont, Kansas 	 37.6581 , -96.5328 	 37.658055555556 , -96.532777777778
Beaumont, Texas 	 30.08 , -94.1267 	 30.08 , -94.126666666667
Beaver County, Alberta 	 53.25 , -112.2333 	 53.25 , -112.233333
Beaver County, Oklahoma 	 36.75 , -100.48 	 36.75 , -100.48
Beaver County, Pennsylvania 	 40.69 , -80.35 	 40.69 , -80.35
Becerril 	 9.702 , -73.2795 	 9.7030555555556 , -73.2775
Bedford, Eastern Cape 	 -32.6833 , 26.0833 	 -32.683333333333 , 26.083333333333
Bedford, Greater Manchester 	 53.4939 , -2.4996 	 53.4939 , -2.4996
Bedford, Indiana 	 38.8625 , 86.4922 	 38.8628 , -86.4922
Bedford, Iowa 	 40.6683 , -94.7211 	 40.668333333333 , -94.721111111111
Bedford, Massachusetts 	 42.4906 , -71.2767 	 42.490555555556 , -71.276666666667
Bedford, New Hampshire 	 42.9464 , -71.5158 	 42.94647 , -71.5159
Bedford, Nova Scotia 	 44.7321 , -63.6568 	 44.731944444444 , -63.656666666667
Bedford, Ohio 	 41.3925 , -81.5344 	 41.3925 , -81.5344
Bedford, Pennsylvania 	 40.0164 , -78.5042 	 40.01869 , -78.50391
Bedford, Quebec (town) 	 45.1167 , -72.9833 	 45.116666666667 , -72.983333333333
Bedford, Texas 	 32.8483 , -97.0917 	 32.8467 , -97.1397
Beigang, Yunlin 	 23.5667 , 120.3042 	 23.566666666667 , 120.3
Beihai 	 21.4667 , 109.1 	 21.48333 , 109.1
Beitun, Xinjiang 	 47.3583 , 87.8181 	 47.35249 , 87.82053
Bejucal 	 22.9328 , -82.3869 	 22.932777777778 , -82.386944444444
Bel Air, Harford County, Maryland 	 39.5367 , -76.3483 	 39.536666666667 , -76.348333333333
Bel Air, Los Angeles 	 34.0779 , -118.4428 	 34.08333 , -118.44778
Bel Air, Minot 	 48.242 , -101.325 	 48.242 , -101.325
Belaya Gora, Sakha Republic 	 68.5375 , 146.1875 	 68.5375 , 146.19333333333
Belen, New Mexico 	 34.6656 , -106.776 	 34.665555555556 , -106.77611111111
Belfort 	 47.6379 , 6.8628 	 47.6375 , 6.8627777777778
Belimbing, West Sumatra 	 -0.522 , 100.577 	 -0.529 , 100.59
Bella Vista, Arkansas 	 36.4639 , -94.2711 	 36.463888888889 , -94.271111111111
Bella Vista, California 	 40.6517 , -122.2564 	 40.651666666667 , -122.25638888889
Bella Vista, Montevideo 	 -34.8753 , -56.1867 	 -34.87527778 , -56.18666667
Bella Vista, New South Wales 	 -33.742 , 150.955 	 -33.742 , 150.955
Bell, California 	 33.9784 , -118.1829 	 33.978333333333 , -118.18277777778
Bellevue, Alberta 	 49.5808 , -114.3661 	 49.5808 , -114.366
Bellevue, Edmonton 	 53.556 , -113.446 	 53.556 , -113.446
Bellevue, Idaho 	 43.465 , -114.2567 	 43.465 , -114.257
Bellevue, Iowa 	 42.2586 , -90.4228 	 42.259166666667 , -90.426388888889
Bellevue, Kentucky 	 39.1017 , 84.4806 	 39.101666666667 , -84.480833333333
Bellevue, Nebraska 	 41.1586 , -95.9342 	 41.158611111111 , -95.934166666667
Bellevue, Ohio 	 41.2758 , -82.8422 	 41.2758 , -82.8422
Bellevue, Pennsylvania 	 40.4939 , -80.0536 	 40.49396 , -80.05172
Bellevue, Schenectady, New York 	 42.7975 , -73.9642 	 42.7975 , -73.9642
Bellevue, Switzerland 	 46.25 , 6.15 	 46.25726 , 6.1367
Bellevue, Tennessee 	 36.0742 , -86.9233 	 36.074166666667 , -86.923333333333
Bellevue, Western Australia 	 31.899 , 116.023 	 -31.899 , 116.023
Bell, Florida 	 29.7544 , -82.8617 	 29.754444444444 , -82.861666666667
Bellingham, London 	 51.4258 , -0.0237 	 51.4311 , -0.0245
Bellingham, Massachusetts 	 42.0867 , -71.475 	 42.08676 , -71.47451
Bellingham, Northumberland 	 55.1447 , -2.2539 	 55.145 , -2.254
Bellingham, Tasmania 	 -41.0164 , 147.1688 	 -41.0167 , 147.167
Bell, Oklahoma 	 35.7372 , -94.5219 	 35.737222222222 , -94.521944444444
Bell, Queensland 	 26.9333 , 151.9167 	 -26.9333 , 151.917
Bell, Rhein-Hunsrück 	 50.0619 , 7.4147 	 50.061944444444 , 7.415
Belmont, California 	 37.5181 , -122.2917 	 37.518055555556 , -122.29166666667
Belmont, County Durham 	 54.783 , -1.517 	 54.7856 , -1.53306
Belmont, Edmonton 	 53.595 , -113.395 	 53.595 , -113.395
Belmont, Harrow 	 51.6013 , -0.3192 	 51.6013 , -0.31928888888889
Belmont, Lancashire 	 53.64 , -2.495 	 53.6405 , -2.49524
Belmont, Massachusetts 	 42.3958 , -71.1792 	 42.39593 , -71.17867
Belmont, Nebraska 	 42.5497 , -103.3567 	 42.54972222 , -103.3566667
Belmont, New Hampshire 	 43.4428 , -71.4825 	 43.442777777778 , -71.4825
Belmont, New South Wales 	 -33.0274 , 151.6601 	 -33.037 , 151.66
Belmont, North Carolina 	 35.2444 , -81.0356 	 35.2444 , -81.0356
Belmont, Ohio 	 40.0275 , 81.0406 	 40.0275 , -81.0408
Belmont, Sutton 	 51.3433 , -0.2024 	 51.343280555556 , -0.20238888888889
Belmont, Victoria 	 38.173 , 144.341 	 -38.173 , 144.341
Belmont, Western Australia 	 -31.9435 , 115.9255 	 -31.945 , 115.927
Belo Horizonte 	 -19.9191 , -43.9387 	 -19.891666666667 , -43.947777777778
Belo, Medvode 	 46.0789 , 14.3603 	 46.078925 , 14.360261
Belovo, Kemerovo Oblast 	 56.0833 , 86.0333 	 54.416666666667 , 86.3
Belton, Leicestershire 	 52.781 , -1.338 	 52.7819 , -1.33889
Belton, Lincolnshire 	 52.9463 , -0.6166 	 52.9463 , -0.616614
Belton, North Lincolnshire 	 53.553 , -0.8166 	 53.56239 , -0.82951
Belton, South Carolina 	 34.5256 , -82.4961 	 34.525555555556 , -82.496111111111
Belton, Texas 	 31.0589 , -97.4633 	 31.0589 , -97.4633
Belvedere, California 	 37.8746 , -122.4658 	 37.872777777778 , -122.46444444444
Belvedere, Edmonton 	 53.594 , -113.434 	 53.594 , -113.434
Belvedere, London 	 51.4856 , 0.1541 	 51.4856 , 0.1541
Belvedere, U.S. Virgin Islands 	 17.7764 , -64.7989 	 17.77638889 , -64.79888889
Benavides, Texas 	 27.5967 , -98.4119 	 27.5967 , -98.4119
Benton County, Arkansas 	 36.3522 , -94.2342 	 36.352222222222 , -94.234166666667
Benton County, Indiana 	 40.6078 , -87.3112 	 40.61 , -87.31
Benton County, Mississippi 	 34.8194 , -89.1886 	 34.82 , -89.19
Benton County, Missouri 	 38.2994 , -93.2886 	 38.3 , -93.29
Benton County, Oregon 	 44.4903 , -123.4325 	 44.490277777778 , -123.4325
Benton County, Tennessee 	 36.07 , -88.07 	 36.07 , -88.07
Benton County, Washington 	 46.25 , -119.5 	 46.25 , -119.5
Berat 	 40.7067 , 19.9522 	 40.704939 , 19.949673
Berezniki 	 59.4167 , 56.75 	 59.416666666667 , 56.783333333333
Bergen, Neuburg 	 48.783 , 11.1426 	 48.783 , 11.1426
Bergen, New York 	 43.0833 , -77.95 	 43.08534 , -77.94223
Bergen, Rhineland-Palatinate 	 49.7811 , 7.4178 	 49.781111111111 , 7.4177777777778
Berg, Norway 	 69.451 , 17.309 	 69.44444 , 17.2995
Berg, St. Gallen 	 47.4865 , 9.4075 	 47.48467 , 9.40343
Berg, Thurgau 	 47.5667 , 9.1667 	 47.566388888889 , 9.1663888888889
Beri, Jhajjar 	 28.7 , 76.5833 	 28.7 , 76.5833
Berkeley, California 	 37.8717 , -122.2747 	 37.870277777778 , -122.26805555556
Berkeley, Denver 	 39.7767 , -105.0381 	 39.7767 , -105.038
Berkeley, Gloucestershire 	 51.691 , -2.459 	 51.691 , -2.459
Berkeley, Illinois 	 41.8867 , 87.9103 	 41.8867 , -87.9106
Berkeley, Missouri 	 38.7422 , -90.3333 	 38.742222222222 , -90.333333333333
Berlin, Connecticut 	 41.6139 , -72.7725 	 41.613888888889 , -72.7725
Berlin, Maryland 	 38.3311 , -75.2139 	 38.3333 , -75.2167
Berlin, New Hampshire 	 44.4686 , -71.1839 	 44.468611111111 , -71.183888888889
Berlin, New Jersey 	 39.7921 , -74.937 	 39.79123 , -74.92905
Berlin, Wisconsin 	 43.9697 , -88.9486 	 43.969722222222 , -88.948611111111
Bernal, Querétaro 	 20.7389 , -99.94 	 20.740833333333 , -99.941111111111
Bethany, Connecticut 	 41.4217 , -72.997 	 41.425555555556 , -72.9925
Bethany, Georgia 	 31.2669 , -84.1486 	 31.2669 , -84.1486
Bethany, Missouri 	 40.2667 , -94.0339 	 40.266666666667 , -94.033888888889
Bethany, New York 	 42.9292 , -78.1406 	 42.929166666667 , -78.140555555556
Bethany, Oklahoma 	 35.5046 , -97.6388 	 35.504722222222 , -97.638888888889
Bethany, Ontario 	 44.1834 , -78.5662 	 44.1833 , -78.5667
Bethany, Oregon 	 45.5528 , -122.8369 	 45.5528 , -122.837
Bethlehem 	 31.7031 , 35.196 	 31.704444444444 , 35.206111111111
Bethlehem, Connecticut 	 41.6392 , -73.2086 	 41.639166666667 , -73.208611111111
Bethlehem, Free State 	 28.2333 , 28.3 	 -28.233333333333 , 28.3
Bethlehem, Indiana 	 38.5392 , -85.4206 	 38.5392 , -85.4206
Bethlehem, New Hampshire 	 44.2803 , -71.6881 	 44.280277777778 , -71.688055555556
Bethlehem, New York 	 42.6 , -73.8333 	 42.6 , -73.833333333333
Bethlehem, Pennsylvania 	 40.6261 , -75.3756 	 40.626111111111 , -75.375555555556
Beverly Hills, California 	 34.0731 , -118.3994 	 34.073055555556 , -118.39944444444
Beverly Hills, Michigan 	 42.5219 , -83.2422 	 42.521944444444 , -83.242222222222
Beverly Hills, New South Wales 	 -33.9513 , 151.0794 	 -33.9513 , 151.07938
Bexley 	 51.441 , 0.149 	 51.441 , 0.149
Bexley, New South Wales 	 -33.9568 , 151.1262 	 -33.9568 , 151.126
Bexley, Ohio 	 39.9644 , 82.9325 	 39.964444 , -82.932778
Bidar 	 17.9074 , 77.5271 	 17.9 , 77.55
Bilinga, Queensland 	 -28.16 , 153.51 	 -28.16 , 153.51
Billings, Montana 	 45.7867 , -108.5372 	 45.786666666667 , -108.53722222222
Billings, Oklahoma 	 36.535 , -97.4442 	 36.528888888889 , -97.443888888889
Billings, Russia 	 69.8664 , 175.8542 	 69.701388888889 , 176.62194444444
Bima 	 -8.4553 , 118.7283 	 -8.46667 , 118.717
Bir, Himachal Pradesh 	 32.0442 , 76.7258 	 32.044166666667 , 76.725833333333
Biri, Northern Samar 	 12.683 , 124.364 	 12.666666666667 , 124.38333333333
Biri, Norway 	 60.9503 , 10.62 	 60.950277777778 , 10.62
Birkenhead 	 53.3871 , -3.0221 	 53.383333333333 , -3.0166666666667
Birkenhead, New Zealand 	 -36.8188 , 174.7336 	 -36.818759 , 174.733554
Birkenhead, South Australia 	 -34.8368 , 138.4979 	 -34.83333333 , 138.48333333
Birlik, Kazakhstan 	 43.308 , 77.1435 	 43.307973 , 77.143457
Birmingham 	 52.4831 , -1.8936 	 52.483333333333 , -1.9
Birmingham, Huntingdon County, Pennsylvania 	 40.6472 , -78.1953 	 40.6472 , -78.1953
Birmingham, Michigan 	 42.5467 , -83.2114 	 42.546666666667 , -83.211388888889
Bisha 	 20 , 42.6 	 20.0 , 42.6
Biu, Nigeria 	 10.6111 , 12.195 	 10.612777777778 , 12.194444444444
Blanca, Colorado 	 37.4393 , -105.5135 	 37.4406 , -105.51
Blanca, Sevnica 	 45.9927 , 15.3894 	 45.98333 , 15.4
Bloomington, California 	 34.0703 , -117.3958 	 34.05944 , -117.39861
Bloomington, Indiana 	 39.1622 , -86.5292 	 39.162222222222 , -86.529166666667
Bloomington, Maryland 	 39.48 , -79.0711 	 39.48 , -79.0711
Bloomington, Minnesota 	 44.8336 , -93.31 	 44.833611111111 , -93.31
Bluff, KwaZulu-Natal 	 29.9247 , 31.0039 	 -29.9247 , 31.0039
Bluff, Queensland 	 23.5833 , 149.0667 	 -23.5833 , 149.067
Bluff, Utah 	 37.2836 , -109.5528 	 37.2836 , -109.553
Boca, California 	 39.3861 , -120.094 	 39.386111111111 , -120.09416666667
Boda, Rajgarh 	 23.6589 , 76.8117 	 23.658888888889 , 76.811666666667
Bogo, Cebu 	 11.0333 , 124 	 11.016666666667 , 124.0
Bogota, New Jersey 	 40.8743 , -74.0297 	 40.8743 , -74.0297
Boho, County Fermanagh 	 54.3497 , -7.7957 	 54.3497 , -7.7957
Bohol 	 9.8667 , 124.2167 	 9.8833333333333 , 124.21666666667
Bolivar, Missouri 	 37.6111 , 93.4128 	 37.616666666667 , -93.416666666667
Bolivar, New York 	 42.0667 , -78.1678 	 42.0432722 , -78.1327271
Bolivar, Ohio 	 40.65 , 81.4544 	 40.65 , -81.455
Bolivar, Pennsylvania 	 40.3947 , -79.1517 	 40.39701 , -79.1517
Bolivar, Texas 	 33.3583 , -97.2453 	 33.358333333333 , -97.245277777778
Bolivia 	 -16.712 , -64.666 	 -17.056869611111 , -64.991228611111
Bolivia, North Carolina 	 34.0692 , -78.1478 	 34.0692 , -78.1478
Bolu 	 40.7347 , 31.6075 	 40.733333333333 , 31.6
Boma, Democratic Republic of the Congo 	 -5.8487 , 13.0561 	 -5.85 , 13.05
Bombon, Camarines Sur 	 13.682 , 123.201 	 13.6887 , 123.2077
Bombo, Uganda 	 0.5778 , 32.545 	 0.57777778 , 32.545
Bonanza, Arkansas 	 35.2378 , -94.4289 	 35.23926 , -94.42605
Bonanza, Colorado 	 38.2966 , -106.1419 	 38.295 , -106.14
Bonanza, Oregon 	 42.1994 , -121.4047 	 42.199444444444 , -121.40472222222
Bondo, Switzerland 	 46.3351 , 9.5541 	 46.333333333333 , 9.55
Bonga 	 7.2639 , 36.2472 	 7.26666667 , 36.23333333
Bora, Punjab 	 23.65 , 76.8 	 23.65 , 76.8
Borino 	 41.6833 , 24.2833 	 41.683333333333 , 24.283333333333
Bor, Niğde 	 37.8833 , 34.5667 	 37.883333333333 , 34.566666666667
Borovo, Ruse Province 	 43.5 , 25.8 	 43.5 , 25.8
Bor, Serbia 	 44.0783 , 22.0953 	 44.130277777778 , 22.103611111111
Bor, South Sudan 	 6.2059 , 31.5563 	 6.2166666666667 , 31.55
Bosa 	 40.3 , 8.5 	 40.298958333333 , 8.4977916666667
Bo, Sierra Leone 	 7.9564 , -11.74 	 7.9563888888889 , -11.74
Bostan, Pishin 	 30.25 , 67 	 30.25 , 67.0
Boston 	 42.3578 , -71.0594 	 42.357777777778 , -71.061666666667
Boston, Lincolnshire 	 52.9746 , -0.0214 	 52.9746 , -0.0214
Boston, New York 	 42.6289 , -78.7375 	 42.628888888889 , -78.7375
Bowen, Queensland 	 -20.0137 , 148.2475 	 -20.016666666667 , 148.23333333333
Boya, Western Australia 	 31.914 , 116.056 	 -31.914 , 116.056
Bradford 	 53.7887 , -1.7487 	 53.794 , -1.751
Bradford, Devon 	 50.8425 , -4.2447 	 50.8425 , -4.2447222222222
Bradford, Massachusetts 	 42.7694 , -71.0758 	 42.769444444444 , -71.075833333333
Bradford, New Hampshire 	 43.27 , -71.96 	 43.27 , -71.96
Bradford, Ohio 	 40.1278 , 84.4297 	 40.1278 , -84.43
Bradford, Ontario 	 44.1167 , -79.5667 	 44.1167 , -79.5667
Bradford, Rhode Island 	 41.4006 , -71.7475 	 41.400555555556 , -71.7475
Bradford, Vermont 	 43.9947 , -72.1328 	 43.99257 , -72.12898
Braemar 	 57.0058 , -3.3981 	 57.01 , -3.4
Brandon, County Durham 	 54.75 , -1.628 	 54.75 , -1.628
Brandon, Florida 	 27.9333 , -82.2833 	 27.934722222222 , -82.289166666667
Brandon, Lincolnshire 	 53.02 , -0.65 	 53.02 , -0.65
Brandon, Manitoba 	 49.8422 , -99.9618 	 49.833333333333 , -99.95
Brandon, Mississippi 	 32.2803 , -89.9983 	 32.2803 , -89.9983
Brandon, New York 	 44.7517 , -74.4275 	 44.751666666667 , -74.4275
Brandon, Northumberland 	 55.451 , -1.93 	 55.451 , -1.93
Brandon, South Dakota 	 43.5917 , -96.5806 	 43.59472222 , -96.57194444
Brandon, Suffolk 	 52.4474 , 0.6242 	 52.4474 , 0.6242
Brandon, Warwickshire 	 52.3847 , -1.4049 	 52.3847 , -1.40488
Brewster, Massachusetts 	 41.76 , -70.0833 	 41.76011 , -70.0828
Brewster, Minnesota 	 43.6986 , -95.4686 	 43.698611111111 , -95.468611111111
Brewster, Nebraska 	 41.9383 , -99.8656 	 41.938333333333 , -99.865555555556
Brewster, New York 	 41.3961 , -73.6158 	 41.3961 , -73.6158
Brewster, Ohio 	 40.7119 , -81.5975 	 40.7119 , -81.5975
Bridgetown, Nova Scotia 	 44.8414 , -65.2899 	 44.8414 , -65.2894
Bridgewater, Connecticut 	 41.5258 , -73.3608 	 41.525833333333 , -73.360833333333
Bridgewater, Massachusetts 	 41.9903 , -70.9756 	 41.990277777778 , -70.975555555556
Bridgewater, New Hampshire 	 43.6378 , -71.7361 	 43.63841 , -71.73647
Bridgewater, Nova Scotia 	 44.3795 , -64.52 	 44.37 , -64.52
Bridgewater, South Australia 	 -35 , 138.75 	 -35.0 , 138.767
Bridgewater, Virginia 	 38.3867 , -78.9697 	 38.38207 , -78.9767
Brighton 	 50.8429 , -0.1313 	 50.824166666667 , -0.13388888888889
Brighton, Colorado 	 39.9648 , -104.7966 	 39.9742 , -104.81
Brighton, Franklin County, New York 	 44.4483 , -74.2367 	 44.448333333333 , -74.236666666667
Brighton, Illinois 	 39.0394 , -90.1397 	 39.0394 , -90.1397
Brighton, Michigan 	 42.5264 , 83.7836 	 42.529444444444 , -83.780277777778
Brighton, Monroe County, New York 	 43.1233 , -77.5681 	 43.1233 , -77.5681
Brighton, Ontario 	 44.0333 , -77.7333 	 44.1222 , -77.7642
Brighton, Queensland 	 -27.299 , 153.057 	 -27.299 , 153.057
Brighton, South Australia 	 -35.019 , 138.52 	 -35.019 , 138.52
Brighton, Tasmania 	 -42.6961 , 147.2547 	 -42.696111111111 , 147.25472222222
Brighton, Vermont 	 44.8089 , -71.8694 	 44.8020756 , -71.869432
Brighton, Victoria 	 -37.9097 , 145 	 -37.905 , 144.996
Brod, Bosnia and Herzegovina 	 45.1375 , 17.9897 	 45.133333333333 , 17.983333333333
Brody 	 50.0831 , 25.1477 	 50.078055555556 , 25.154166666667
Brooklyn 	 40.6508 , -73.9497 	 40.692777777778 , -73.990277777778
Brooklyn, Connecticut 	 41.7878 , -71.9556 	 41.787777777778 , -71.955555555556
Brooklyn, Illinois 	 38.6567 , 90.1653 	 38.6567 , -90.1653
Brooklyn, Iowa 	 41.7322 , -92.4436 	 41.732222222222 , -92.443611111111
Brooklyn, Michigan 	 42.1064 , 84.2472 	 42.105833333333 , -84.248888888889
Brooklyn, Mississippi 	 31.0564 , -89.1861 	 31.056388888889 , -89.186111111111
Brooklyn, New South Wales 	 33.5483 , 151.2178 	 -33.548333333333 , 151.21777777778
Brooklyn, Ohio 	 41.4328 , -81.7511 	 41.4353 , -81.7444
Brooklyn, Portland, Oregon 	 45.494 , -122.6528 	 45.494011111111 , -122.6528
Brooklyn, Victoria 	 37.813 , 144.841 	 -37.813 , 144.841
Bruma, Gauteng 	 26.1751 , 28.1042 	 -26.1751 , 28.1042
Brunswick, Georgia 	 31.1589 , -81.4892 	 31.14995 , -81.49149
Brunswick, Maine 	 43.8964 , -69.9734 	 43.910833333333 , -69.963055555556
Brunswick, Maryland 	 39.3139 , -77.6267 	 39.3139 , -77.6267
Brunswick, Missouri 	 39.4236 , -93.1289 	 39.4236 , -93.1289
Brunswick, Victoria 	 -37.7667 , 144.9628 	 -37.7667 , 144.963
Buda 	 47.4956 , 19.0397 	 47.466666666667 , 19.05
Buda, Kortrijk 	 50.8314 , 3.2644 	 50.8314 , 3.2644
Buda, Texas 	 30.0842 , -97.8392 	 30.0842 , -97.8392
Buenaventura, Valle del Cauca 	 3.8878 , -77.0689 	 3.8772222222222 , -77.026666666667
Buenavista, Agusan del Norte 	 8.9769 , 125.4089 	 8.9744 , 125.409
Buena Vista, Amador County, California 	 38.2944 , -120.9133 	 38.29444444 , -120.91333333
Buena Vista, Colorado 	 38.8293 , -106.1395 	 38.84222 , -106.13113
Buena Vista, Georgia 	 32.3183 , -84.5161 	 32.3183 , -84.5161
Buenavista, Guimaras 	 10.7011 , 122.6275 	 10.7 , 122.63333333333
Buenavista, Marinduque 	 13.2539 , 121.9436 	 13.25 , 121.95
Buena Vista, Oregon 	 44.7697 , -123.1494 	 44.7697 , -123.149
Buenavista, Quezon 	 13.723 , 122.4537 	 13.739444444444 , 122.4675
Buena Vista, Saskatoon 	 52.1125 , -106.6639 	 52.1125 , -106.664
Buena Vista, Virginia 	 37.7322 , -79.3533 	 37.734444444444 , -79.354166666667
Buenos Aires 	 -34.6081 , -58.3703 	 -34.599722222222 , -58.381944444444
Buenos Aires, Trujillo 	 -8.1443 , -79.0553 	 -8.144325 , -79.05531389
Buffalo, Buffalo County, Wisconsin 	 44.0714 , -91.6136 	 44.071388888889 , -91.613611111111
Buffalo, Minnesota 	 45.1719 , -93.8747 	 45.171944444444 , -93.874722222222
Buffalo, Missouri 	 37.6433 , 93.0944 	 37.643611111111 , -93.094444444444
Buffalo, Oklahoma 	 36.8369 , -99.6289 	 36.836944444444 , -99.628888888889
